                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7067,                 2.4643,                  1.382,                0.48934,                0.37117,                0.35316,                0.16506,                 1.3919,                 13.381,                0.96715,              0.0033295,              0.0033295,              0.0033295
                      1,                 1.7044,                    1.9,                 1.3513,                0.45803,                0.34254,                0.31726,                0.13362,                 1.5628,                 8.2986,                 1.0783,              0.0066299,              0.0066299,              0.0066299
                      2,                 1.8062,                 1.9205,                 1.4199,                0.38622,                0.30122,                0.25896,                0.10437,                 1.6132,                 8.9969,                 1.1601,              0.0098972,              0.0098972,              0.0098972
                      3,                 1.8618,                 1.9193,                  1.465,                0.43973,                0.35574,                0.31795,                0.13838,                   1.57,                 6.4568,                 1.0773,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.7773,                 1.7852,                 1.4331,                0.47926,                0.35471,                 0.3275,                0.14628,                 1.4719,                 3.9761,                 1.0418,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7349,                 1.7081,                 1.4093,                0.51115,                0.39681,                0.39393,                0.18981,                 1.4017,                 3.9309,                0.99718,               0.009802,               0.009802,               0.009802
                      6,                 1.7065,                 1.6373,                 1.3904,                0.51958,                0.42688,                0.41989,                0.20624,                 1.4047,                 4.0899,                 1.0025,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6717,                 1.5803,                 1.3681,                0.50412,                0.42901,                0.43029,                0.20113,                 1.4154,                 3.3992,                 1.0031,               0.009703,               0.009703,               0.009703
                      8,                 1.6606,                 1.5619,                 1.3586,                0.54421,                0.44401,                0.45624,                0.22584,                  1.382,                 3.3256,                0.97764,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6411,                 1.5122,                 1.3526,                 0.5719,                0.45499,                0.47162,                0.23487,                 1.3397,                 3.3581,                0.96123,               0.009604,               0.009604,               0.009604
                     10,                 1.6268,                  1.485,                 1.3378,                 0.5805,                0.45831,                0.48832,                0.24287,                 1.3289,                 3.1417,                0.96554,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6052,                  1.459,                 1.3385,                0.59188,                0.46784,                0.49426,                0.24549,                 1.3438,                 2.9615,                 0.9779,               0.009505,               0.009505,               0.009505
                     12,                 1.5873,                 1.4363,                  1.332,                0.59691,                0.47284,                0.49965,                0.25528,                 1.2973,                 2.9218,                0.96213,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5892,                 1.4285,                 1.3247,                 0.6036,                0.48374,                0.50545,                0.25945,                 1.3121,                  2.457,                0.95772,               0.009406,               0.009406,               0.009406
                     14,                 1.5685,                 1.3912,                 1.3162,                0.63383,                0.48159,                0.52161,                0.27209,                 1.3067,                 2.9407,                0.96426,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5552,                 1.3934,                 1.3099,                0.62366,                0.49258,                 0.5226,                0.26929,                  1.289,                 3.6124,                0.95401,               0.009307,               0.009307,               0.009307
                     16,                 1.5525,                 1.3702,                 1.3117,                 0.6515,                0.48917,                0.53691,                0.27694,                 1.2584,                 2.5427,                0.93278,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5423,                 1.3543,                 1.3059,                0.67328,                0.48829,                0.54565,                0.28543,                 1.2695,                 2.5245,                0.94998,               0.009208,               0.009208,               0.009208
                     18,                 1.5435,                 1.3361,                 1.2994,                0.62456,                0.50969,                0.54317,                0.28312,                 1.2711,                 2.4232,                0.93954,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5227,                 1.3275,                 1.2894,                 0.6463,                0.51713,                 0.5544,                0.29228,                 1.2298,                 2.9516,                0.91069,               0.009109,               0.009109,               0.009109
                     20,                 1.5159,                 1.3205,                 1.2908,                0.63984,                 0.5107,                0.55003,                0.29199,                 1.2304,                 2.4632,                0.91907,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.515,                 1.3029,                 1.2883,                0.65236,                0.51182,                0.55954,                0.29961,                 1.2284,                 2.3898,                0.92103,                0.00901,                0.00901,                0.00901
                     22,                 1.5089,                 1.3022,                 1.2824,                0.66107,                0.51281,                0.56963,                0.30588,                 1.2261,                 2.4516,                0.90937,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5084,                 1.2923,                 1.2859,                0.64816,                0.52417,                0.56679,                0.30494,                  1.235,                 2.3194,                0.91566,               0.008911,               0.008911,               0.008911
                     24,                 1.5042,                 1.2891,                 1.2821,                0.65845,                 0.5301,                0.57974,                0.31266,                 1.2237,                 2.2136,                0.90615,              0.0088615,              0.0088615,              0.0088615
                     25,                  1.499,                 1.2731,                 1.2762,                0.69418,                0.52661,                0.58612,                 0.3149,                 1.2307,                 2.2333,                0.91104,               0.008812,               0.008812,               0.008812
                     26,                 1.4945,                 1.2686,                 1.2802,                0.67387,                0.53297,                0.58216,                0.31291,                 1.2161,                 2.8685,                0.89951,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4914,                 1.2549,                 1.2706,                0.68528,                0.54357,                0.59365,                0.31828,                 1.2189,                 2.4434,                0.90996,               0.008713,               0.008713,               0.008713
                     28,                 1.4866,                 1.2565,                 1.2757,                0.66353,                0.53697,                 0.5895,                0.32327,                 1.2009,                 2.5417,                0.91125,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4786,                 1.2406,                  1.267,                0.67227,                0.54885,                0.59687,                0.32779,                 1.1888,                 2.0299,                0.89568,               0.008614,               0.008614,               0.008614
                     30,                 1.4713,                 1.2269,                 1.2665,                0.70457,                0.53889,                0.60396,                0.32993,                 1.1959,                 2.4442,                0.89614,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4798,                 1.2422,                 1.2692,                0.68712,                0.54159,                0.59435,                0.32337,                  1.197,                 2.3577,                0.89748,               0.008515,               0.008515,               0.008515
                     32,                 1.4682,                 1.2335,                  1.262,                0.68958,                0.53991,                0.59634,                0.32765,                 1.2014,                  2.232,                0.90577,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4566,                 1.2061,                 1.2617,                0.69388,                0.55115,                0.60496,                0.33078,                 1.2107,                 2.1411,                0.90497,               0.008416,               0.008416,               0.008416
                     34,                 1.4537,                 1.2024,                 1.2587,                0.69488,                0.55008,                0.60902,                0.33541,                 1.1888,                 2.0327,                0.90004,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4562,                 1.2039,                 1.2535,                0.70051,                 0.5515,                0.60649,                0.33411,                 1.1648,                 1.9655,                0.88462,               0.008317,               0.008317,               0.008317
                     36,                 1.4578,                 1.2031,                 1.2529,                0.70491,                0.56491,                0.61811,                0.34014,                 1.1852,                 1.8098,                0.89144,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4535,                 1.1849,                 1.2463,                0.68727,                0.56549,                 0.6138,                 0.3404,                 1.1651,                 2.0348,                0.87819,               0.008218,               0.008218,               0.008218
                     38,                 1.4503,                 1.1921,                 1.2481,                0.69297,                0.56242,                0.61287,                0.34184,                 1.1527,                 1.9673,                0.87328,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4345,                 1.1799,                 1.2467,                0.70788,                0.55935,                0.61903,                0.34207,                 1.1464,                 2.1098,                0.87143,               0.008119,               0.008119,               0.008119
                     40,                  1.435,                 1.1783,                 1.2425,                0.69112,                0.56359,                0.61777,                0.34638,                 1.1548,                 1.8756,                0.87191,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4377,                 1.1768,                 1.2487,                0.70072,                0.56479,                0.62005,                0.34539,                 1.1482,                 1.8698,                0.87399,                0.00802,                0.00802,                0.00802
                     42,                 1.4294,                 1.1736,                 1.2435,                0.71838,                0.55815,                0.62302,                0.34699,                 1.1593,                 2.0448,                 0.8793,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4366,                  1.167,                 1.2467,                0.70072,                 0.5738,                0.62522,                0.34882,                 1.1611,                 2.0151,                0.88069,               0.007921,               0.007921,               0.007921
                     44,                 1.4275,                 1.1716,                 1.2433,                0.69806,                0.57535,                0.62519,                0.35077,                 1.1604,                  1.953,                0.87912,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4168,                 1.1567,                 1.2357,                0.70382,                0.57314,                0.62606,                0.35346,                 1.1577,                 1.9535,                0.88296,               0.007822,               0.007822,               0.007822
                     46,                 1.4214,                 1.1454,                 1.2343,                0.72126,                 0.5697,                0.62855,                 0.3549,                 1.1577,                 1.9263,                0.88212,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4229,                 1.1458,                 1.2384,                0.72095,                0.56707,                 0.6319,                0.35565,                 1.1447,                 1.9472,                0.87079,               0.007723,               0.007723,               0.007723
                     48,                 1.4133,                 1.1558,                 1.2373,                0.71015,                 0.5744,                0.63061,                0.35544,                 1.1442,                 1.8596,                0.86965,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4156,                 1.1392,                 1.2318,                0.72728,                0.56485,                0.63198,                0.35717,                 1.1384,                 1.9446,                0.86659,               0.007624,               0.007624,               0.007624
                     50,                 1.4127,                 1.1436,                 1.2347,                0.72277,                0.56653,                0.63163,                0.35777,                 1.1381,                 1.8577,                0.86958,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4016,                 1.1332,                 1.2268,                0.71754,                0.56785,                0.62989,                 0.3583,                 1.1213,                 1.8659,                 0.8608,               0.007525,               0.007525,               0.007525
                     52,                 1.4048,                 1.1319,                 1.2287,                0.71047,                0.57188,                0.63135,                 0.3589,                 1.1337,                 1.8793,                0.86798,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4108,                 1.1316,                 1.2302,                0.72513,                 0.5712,                0.63495,                0.35976,                 1.1345,                 1.8697,                0.86682,               0.007426,               0.007426,               0.007426
                     54,                 1.4072,                 1.1241,                 1.2248,                0.71846,                0.57328,                0.63444,                0.36078,                 1.1302,                 1.8158,                0.86459,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3982,                 1.1108,                 1.2198,                  0.721,                0.57301,                0.63664,                 0.3617,                 1.1337,                 1.7932,                0.86446,               0.007327,               0.007327,               0.007327
                     56,                 1.4035,                 1.1208,                 1.2241,                0.72334,                0.57387,                0.63728,                0.36142,                 1.1346,                 1.7515,                0.86543,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3976,                 1.1192,                 1.2203,                0.72119,                0.57486,                0.63615,                 0.3616,                 1.1305,                 1.7369,                0.86436,               0.007228,               0.007228,               0.007228
                     58,                 1.3983,                 1.1158,                 1.2205,                0.72104,                0.57206,                0.63642,                0.36134,                 1.1278,                 1.7275,                0.86424,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3881,                  1.109,                 1.2203,                0.72016,                0.57728,                0.63784,                0.36215,                 1.1317,                 1.7411,                0.86489,               0.007129,               0.007129,               0.007129
                     60,                  1.387,                  1.098,                 1.2186,                0.71915,                0.58229,                0.64131,                0.36246,                 1.1334,                 1.7153,                0.86649,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3945,                 1.1155,                 1.2198,                0.72086,                  0.581,                0.64104,                0.36279,                 1.1307,                  1.722,                0.86479,                0.00703,                0.00703,                0.00703
                     62,                  1.392,                 1.0931,                 1.2149,                0.72136,                0.58622,                0.64268,                0.36357,                 1.1282,                  1.713,                0.86368,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3752,                 1.0865,                 1.2071,                0.72654,                0.58622,                0.64292,                0.36409,                 1.1264,                 1.6593,                0.86354,               0.006931,               0.006931,               0.006931
                     64,                 1.3795,                 1.0875,                 1.2159,                 0.7193,                0.58788,                 0.6449,                0.36541,                 1.1241,                  1.653,                0.86349,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3761,                 1.0941,                  1.211,                0.72497,                0.58366,                  0.643,                0.36616,                 1.1246,                  1.644,                0.86416,               0.006832,               0.006832,               0.006832
                     66,                 1.3748,                 1.0844,                 1.2065,                0.72401,                0.58458,                0.64151,                0.36578,                 1.1243,                  1.633,                0.86489,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3687,                 1.0696,                 1.2041,                0.72503,                0.58451,                0.64242,                  0.366,                 1.1228,                 1.6346,                0.86435,               0.006733,               0.006733,               0.006733
                     68,                 1.3783,                 1.0946,                 1.2146,                0.72905,                0.58336,                0.64306,                0.36685,                  1.122,                 1.6335,                0.86471,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3733,                 1.0792,                 1.2104,                 0.7274,                0.58187,                 0.6432,                0.36695,                 1.1219,                 1.6444,                 0.8643,               0.006634,               0.006634,               0.006634
                     70,                 1.3709,                 1.0843,                 1.2068,                0.72461,                0.58747,                0.64468,                0.36721,                 1.1213,                 1.6393,                  0.864,              0.0065845,              0.0065845,              0.0065845
                     71,                  1.371,                 1.0647,                 1.2045,                0.72071,                0.58807,                0.64451,                0.36693,                 1.1212,                 1.6285,                0.86339,               0.006535,               0.006535,               0.006535
                     72,                 1.3532,                 1.0565,                 1.1997,                0.72439,                0.58647,                0.64518,                0.36747,                 1.1211,                 1.6359,                0.86335,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3714,                 1.0711,                 1.2028,                 0.7176,                0.59105,                0.64583,                0.36754,                 1.1208,                 1.6422,                0.86309,               0.006436,               0.006436,               0.006436
                     74,                 1.3644,                 1.0637,                 1.1983,                0.72075,                0.59175,                0.64678,                0.36812,                 1.1184,                 1.6451,                0.86184,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3593,                  1.064,                 1.1968,                0.72276,                0.59191,                 0.6481,                0.36895,                 1.1186,                 1.6557,                0.86235,               0.006337,               0.006337,               0.006337
                     76,                 1.3704,                 1.0512,                 1.2014,                0.72726,                0.59152,                 0.6488,                0.36897,                 1.1191,                 1.6552,                 0.8626,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3495,                 1.0524,                 1.1936,                0.72368,                0.59256,                0.64873,                0.36982,                 1.1195,                 1.6426,                0.86208,               0.006238,               0.006238,               0.006238
                     78,                 1.3511,                 1.0411,                 1.1959,                0.72302,                0.59233,                0.64892,                0.37049,                 1.1194,                 1.6345,                0.86177,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3437,                 1.0353,                  1.192,                0.71786,                0.59419,                0.64973,                0.37067,                 1.1189,                 1.6256,                 0.8611,               0.006139,               0.006139,               0.006139
                     80,                 1.3553,                 1.0436,                 1.1936,                0.72172,                0.59337,                0.65071,                0.37088,                 1.1178,                 1.6177,                0.86046,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3499,                 1.0517,                 1.1972,                0.71917,                0.59348,                0.65163,                0.37116,                  1.117,                 1.6187,                0.86004,                0.00604,                0.00604,                0.00604
                     82,                 1.3474,                 1.0451,                 1.1939,                0.72303,                0.59431,                0.65223,                 0.3715,                 1.1174,                 1.6161,                 0.8599,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3434,                 1.0377,                 1.1919,                0.72416,                0.59401,                0.65164,                0.37176,                 1.1159,                   1.62,                 0.8594,               0.005941,               0.005941,               0.005941
                     84,                 1.3506,                 1.0373,                 1.1916,                0.72219,                0.59454,                0.65299,                0.37218,                 1.1159,                 1.6169,                0.85927,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3399,                  1.037,                 1.1926,                0.72423,                0.59471,                 0.6548,                0.37323,                 1.1163,                 1.6235,                0.85894,               0.005842,               0.005842,               0.005842
                     86,                 1.3338,                  1.029,                   1.19,                0.72385,                0.59343,                0.65362,                0.37284,                 1.1166,                 1.6183,                0.85934,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3364,                 1.0267,                 1.1888,                 0.7247,                0.59452,                0.65353,                0.37383,                 1.1164,                 1.6164,                0.85932,               0.005743,               0.005743,               0.005743
                     88,                 1.3329,                 1.0211,                 1.1882,                0.72585,                0.59563,                0.65434,                0.37395,                 1.1164,                 1.6066,                0.85961,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.3323,                 1.0225,                 1.1844,                 0.7239,                0.60004,                0.65513,                0.37393,                 1.1171,                 1.6078,                0.85964,               0.005644,               0.005644,               0.005644
                     90,                 1.3301,                 1.0147,                 1.1824,                 0.7252,                0.59661,                0.65523,                0.37432,                 1.1167,                 1.6048,                0.85939,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3369,                 1.0171,                  1.185,                0.72258,                0.59864,                0.65644,                0.37485,                 1.1171,                 1.5955,                 0.8595,               0.005545,               0.005545,               0.005545
                     92,                 1.3283,                 1.0243,                 1.1853,                0.72278,                 0.6009,                0.65734,                0.37479,                 1.1174,                 1.6019,                0.85976,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3285,                 1.0092,                 1.1808,                0.72325,                0.59994,                0.65688,                0.37478,                 1.1181,                 1.6006,                   0.86,               0.005446,               0.005446,               0.005446
                     94,                 1.3337,                 1.0059,                 1.1861,                0.72402,                0.59859,                0.65751,                0.37489,                  1.119,                 1.6012,                0.86005,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3152,                 1.0005,                 1.1783,                0.72473,                0.59827,                 0.6578,                0.37504,                 1.1187,                 1.6035,                0.85984,               0.005347,               0.005347,               0.005347
                     96,                 1.3293,                 1.0008,                 1.1777,                0.72348,                0.59886,                0.65785,                0.37511,                 1.1188,                 1.5974,                0.85968,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3222,                 1.0057,                 1.1756,                0.72177,                0.59899,                0.65734,                0.37474,                 1.1192,                 1.5945,                0.85954,               0.005248,               0.005248,               0.005248
                     98,                 1.3143,                0.99473,                 1.1734,                0.72303,                0.59866,                0.65715,                0.37499,                 1.1193,                 1.5892,                0.85954,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3188,                0.99004,                 1.1785,                0.72397,                 0.5986,                0.65823,                0.37514,                 1.1193,                 1.5838,                0.85916,               0.005149,               0.005149,               0.005149
                    100,                  1.325,                 1.0053,                 1.1744,                0.72566,                0.59717,                0.65755,                0.37541,                 1.1189,                 1.5843,                0.85905,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3036,                0.98353,                 1.1699,                0.72617,                0.59758,                0.65763,                 0.3755,                 1.1189,                  1.578,                0.85857,                0.00505,                0.00505,                0.00505
                    102,                  1.299,                0.97666,                 1.1727,                0.72336,                0.60056,                0.65832,                0.37571,                  1.119,                 1.5729,                0.85831,              0.0050005,              0.0050005,              0.0050005
